,Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
0,Omni,"Aaron Wiener, Adam Dexter, Thomas McLeod",01-Aug-14,06-Jan-20,"Apps, marketplace, mobile",35.3M,"San Francisco, California, United States",51-100,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/c5rz7hpojjlmwdq8ea1l"
1,CloudCI,Charles Green,27-Aug-20,31-Dec-20,Cloud Security,,"Greater Philadelphia Area, East Coast, Southern US",10-Jan,Continuous Code Quality & Security Analysis for Go,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/x40ldzpbl3s1mzm6vmz7"
2,RangoHunt,"Joao Victor Rocha Soares, Rodrigo Meurer",15-Jun-20,15-Dec-20,"Food and Beverages, Food Delivery, Restaurants",,Latin America,10-Jan,Food delivery data startup helping restaurants to improve their results in delivery channel and helping users to find the best food offer,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dnlhkl4g7fhhcmisaewn"
3,99dresses,Nikki Durkin,2010,Jun-14,"Apps, Fashion, File Sharing",105.7K,"Asia-Pacific (APAC), Australasia",10-Jan,99dresses is a virtual closet that allows user to trade fashion items with other users,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196844/5ff540c906cff2a77d988bde2b0f4e55.png"
4,Yellloh,"Adrian Grayson-Widarsito, Andy Crone, Jon Wellman",01-May-13,16-Jan-14,"Apps, Blogging platforms, communities, social media",91.9K,"Asia-Pacific (APAC), Australasia",10-Jan,Yellloh is a social network that connects people based on their interests,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1419280365/u74fvakuuvsiywihc06c.png"
5,Timtara,Arindam Bose,01-May-10,,E-Commerce,,"Noida, Uttar Pradesh, India",11-50,"huge range of electronic gadgets such as LCS, Cameras, Mobiles, Laptops & peripherals, Health Care, etc.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397195093/ed75c88bfc0003a9fb9f150ce6b052a7.jpg"
6,Vault,"Emiliano Villareal, Josh Pierce, Tony Aguilar",2013,2014,"Financial services, lending, personal finance",16M,"Austin, Texas, United States",11-50,Attract top talent with a workplace benefit that helps your employees crush their student loan debt.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414413017/nlcx4ovi8pcm5ksblc3z.png"
7,Assetiz,Arian Adeli Koodehi,22-Mar-20,07-Jun-21,"Business Development, Finance, Media and Entertainment",,,11-50,"Assetiz is a publication which focuses on daily news, finance, business, entrepreneurship, politics, STEM, and lifestyle. We aim to provide the most reliable and informative articles to our audience.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vwqwrqevzjfurrugdqgg"
8,GRANDUNO inc,"Mary-Queenie Adam, Morgane Adam",01-Apr-21,,"Communities, Content, Social Media, Social Network",,"Washington DC Metro Area,Southern US",10-Jan,Small businesses unite,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/retaqzfacejarngfjuak"
9,LearnBite,"Jason Bloxsidge, Simon Seebaluck",Aug-19,24-Jun-21,Higher Education,,,10-Jan,"LearnBite is a new era in teaching and learning, built for maximum student engagement. Using micro learning theory, LearnBite delivers short bite size business video's that are designed for gen y & z, interactive features and ESL student friendly.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gzn0lghesn9vutaezqd6"
10,AWOK.com,Ulugbek Yuldashev,04-Apr-13,02-Sep-20,"Consumer electronics, content discovery, e-commerce, mobile, shopping",30M,Gulf Cooperation Council (GCC),501-1000,Mass market E-commerce abusiness offering affordable products in UAE and KSA with mobile centric approach,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397189105/ce63821d149b1d767f5989fd77233788.png"
11,Maverix Private Equity,John Ruffolo,01-Jan-19,13-Apr-21,Financial services,,"Toronto, Ontario, Canada",11-50,Maverix Private Equity is a private equity firm focused on technology-enabled growth and disruption.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jfjjmwst734edgbnpreq"
12,HubHaus,"Kerry Jones, Shruti Merchant, Sloane Yu",16-Jan-16,,"Real Estate, Rental, Rental Property",13.4M,"San Francisco Bay Area, Silicon Valley, West Coast",11-50,"HubHaus is a provider of a shared community platform intended to solve housing issues in the modern age. The company's platform offers a holistic service for setting people up in co-living spaces, from creating welcoming homes in neighborhoods where people want to live in, setting up Wi-Fi and utilities to furnishing the place and findingsuitable tenants to share with, enabling urban and mobile consumers with increasing demands for cost-effective housing and the growing global trend of co-living.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bljyuddccuknjkdprrux"
13,CommonX,Justin Reimonenq,17-Aug-20,01-May-21,"Internet, Mobile, Reservations, Retail, Software",25K,"Chicago, Illinois, United States",10-Jan,We have created a social solution for the COVID-19 pandemic that people can use to insulate their social networks from the worry or risk of spreading COVID-19. Launching public beta by Nov. 13.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vmjnzlmcy0utafjuo95f"
14,fees,"Matteo Mazzolari, Paolo Pavesi",Nov-18,May-21,"Apps, Finance, Financial Services, FinTech, Mobile, SaaS",257.5K,"Cremona, Emilia-Romagna, Italy",10-Jan,Fees is an innovative startup that provides an online expense management service through a mobile App for end-users and businesses worldwide,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nhoeobdiqbb40rhojejr"
15,SudershanTech,Kumar Sudershan,31-May-20,19-Jan-21,"Education, information services, information technology",,"Delhi, Delhi, India",11-50,"SudershanTech is a Multinational Educational Technology Company, Headquarters in Delhi, India.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gohyiblukiw1sqb21tb8"
